edge_mode,threshold,fpr
scm,0.0,1.0
scm,0.002509614532861479,0.15875
scm,0.005019229065722958,0.15125
scm,0.0075288435985844376,0.145
scm,0.010038458131445917,0.13625
scm,0.012548072664307396,0.1325
scm,0.015057687197168875,0.1275
scm,0.017567301730030356,0.11875
scm,0.020076916262891834,0.115
scm,0.02258653079575331,0.10625
scm,0.025096145328614792,0.105
scm,0.027605759861476273,0.10125
scm,0.03011537439433775,0.09875
scm,0.03262498892719923,0.09625
scm,0.03513460346006071,0.09375
scm,0.03764421799292219,0.0875
scm,0.04015383252578367,0.08625
scm,0.042663447058645144,0.08375
scm,0.04517306159150662,0.07125
scm,0.047682676124368106,0.06375
scm,0.050192290657229584,0.0625
scm,0.05270190519009106,0.0625
scm,0.055211519722952546,0.0575
scm,0.05772113425581402,0.0525
scm,0.0602307487886755,0.0525
scm,0.06274036332153698,0.05125
scm,0.06524997785439846,0.0475
scm,0.06775959238725994,0.0475
scm,0.07026920692012142,0.045
scm,0.0727788214529829,0.0425
scm,0.07528843598584438,0.0425
scm,0.07779805051870585,0.04
scm,0.08030766505156733,0.03875
scm,0.08281727958442882,0.03625
scm,0.08532689411729029,0.035
scm,0.08783650865015177,0.03375
scm,0.09034612318301324,0.0325
scm,0.09285573771587473,0.02875
scm,0.09536535224873621,0.0275
scm,0.09787496678159768,0.02625
scm,0.10038458131445917,0.02125
scm,0.10289419584732065,0.02125
scm,0.10540381038018212,0.02125
scm,0.1079134249130436,0.02
scm,0.11042303944590509,0.01625
scm,0.11293265397876656,0.01625
scm,0.11544226851162805,0.015
scm,0.11795188304448952,0.0125
scm,0.120461497577351,0.01125
scm,0.12297111211021249,0.01125
scm,0.12548072664307397,0.01
scm,0.12799034117593544,0.01
scm,0.1304999557087969,0.01
scm,0.1330095702416584,0.00875
scm,0.13551918477451988,0.00875
scm,0.13802879930738135,0.0075
scm,0.14053841384024285,0.00625
scm,0.14304802837310432,0.00625
scm,0.1455576429059658,0.00625
scm,0.14806725743882726,0.005
scm,0.15057687197168876,0.005
scm,0.15308648650455023,0.00375
scm,0.1555961010374117,0.00375
scm,0.1581057155702732,0.00375
scm,0.16061533010313467,0.00375
scm,0.16312494463599614,0.00375
scm,0.16563455916885764,0.0025
scm,0.1681441737017191,0.0025
scm,0.17065378823458058,0.0025
scm,0.17316340276744208,0.0025
scm,0.17567301730030355,0.00125
scm,0.17818263183316502,0.0
scm,0.1806922463660265,0.0
scm,0.18320186089888799,0.0
scm,0.18571147543174946,0.0
scm,0.18822108996461093,0.0
scm,0.19073070449747243,0.0
scm,0.1932403190303339,0.0
scm,0.19574993356319537,0.0
scm,0.19825954809605686,0.0
scm,0.20076916262891834,0.0
scm,0.2032787771617798,0.0
scm,0.2057883916946413,0.0
scm,0.20829800622750277,0.0
scm,0.21080762076036424,0.0
scm,0.21331723529322574,0.0
scm,0.2158268498260872,0.0
scm,0.21833646435894868,0.0
scm,0.22084607889181018,0.0
scm,0.22335569342467165,0.0
scm,0.22586530795753312,0.0
scm,0.2283749224903946,0.0
scm,0.2308845370232561,0.0
scm,0.23339415155611756,0.0
scm,0.23590376608897903,0.0
scm,0.23841338062184053,0.0
scm,0.240922995154702,0.0
scm,0.24343260968756347,0.0
scm,0.24594222422042497,0.0
scm,0.24845183875328644,0.0
scm,0.25096145328614794,0.0
tyler,0.0,1.0
tyler,0.002509614532861479,0.3575
tyler,0.005019229065722958,0.3525
tyler,0.0075288435985844376,0.3375
tyler,0.010038458131445917,0.33
tyler,0.012548072664307396,0.3175
tyler,0.015057687197168875,0.315
tyler,0.017567301730030356,0.29875
tyler,0.020076916262891834,0.29125
tyler,0.02258653079575331,0.285
tyler,0.025096145328614792,0.2725
tyler,0.027605759861476273,0.26375
tyler,0.03011537439433775,0.25875
tyler,0.03262498892719923,0.245
tyler,0.03513460346006071,0.23875
tyler,0.03764421799292219,0.225
tyler,0.04015383252578367,0.22
tyler,0.042663447058645144,0.215
tyler,0.04517306159150662,0.205
tyler,0.047682676124368106,0.2
tyler,0.050192290657229584,0.18875
tyler,0.05270190519009106,0.18125
tyler,0.055211519722952546,0.17875
tyler,0.05772113425581402,0.175
tyler,0.0602307487886755,0.16625
tyler,0.06274036332153698,0.16
tyler,0.06524997785439846,0.15875
tyler,0.06775959238725994,0.1525
tyler,0.07026920692012142,0.14625
tyler,0.0727788214529829,0.14125
tyler,0.07528843598584438,0.1325
tyler,0.07779805051870585,0.12875
tyler,0.08030766505156733,0.125
tyler,0.08281727958442882,0.1225
tyler,0.08532689411729029,0.12
tyler,0.08783650865015177,0.11375
tyler,0.09034612318301324,0.11125
tyler,0.09285573771587473,0.10625
tyler,0.09536535224873621,0.10125
tyler,0.09787496678159768,0.1
tyler,0.10038458131445917,0.09375
tyler,0.10289419584732065,0.0925
tyler,0.10540381038018212,0.08875
tyler,0.1079134249130436,0.085
tyler,0.11042303944590509,0.08125
tyler,0.11293265397876656,0.075
tyler,0.11544226851162805,0.07375
tyler,0.11795188304448952,0.07
tyler,0.120461497577351,0.06625
tyler,0.12297111211021249,0.065
tyler,0.12548072664307397,0.06375
tyler,0.12799034117593544,0.0625
tyler,0.1304999557087969,0.05875
tyler,0.1330095702416584,0.05625
tyler,0.13551918477451988,0.0525
tyler,0.13802879930738135,0.04875
tyler,0.14053841384024285,0.04625
tyler,0.14304802837310432,0.04375
tyler,0.1455576429059658,0.04
tyler,0.14806725743882726,0.03875
tyler,0.15057687197168876,0.03875
tyler,0.15308648650455023,0.03625
tyler,0.1555961010374117,0.0325
tyler,0.1581057155702732,0.03125
tyler,0.16061533010313467,0.03125
tyler,0.16312494463599614,0.02875
tyler,0.16563455916885764,0.0275
tyler,0.1681441737017191,0.02625
tyler,0.17065378823458058,0.02375
tyler,0.17316340276744208,0.02375
tyler,0.17567301730030355,0.0225
tyler,0.17818263183316502,0.01875
tyler,0.1806922463660265,0.0175
tyler,0.18320186089888799,0.015
tyler,0.18571147543174946,0.01375
tyler,0.18822108996461093,0.01375
tyler,0.19073070449747243,0.01375
tyler,0.1932403190303339,0.01375
tyler,0.19574993356319537,0.01375
tyler,0.19825954809605686,0.01375
tyler,0.20076916262891834,0.01375
tyler,0.2032787771617798,0.01375
tyler,0.2057883916946413,0.0125
tyler,0.20829800622750277,0.0125
tyler,0.21080762076036424,0.01125
tyler,0.21331723529322574,0.01125
tyler,0.2158268498260872,0.01
tyler,0.21833646435894868,0.0075
tyler,0.22084607889181018,0.00625
tyler,0.22335569342467165,0.00625
tyler,0.22586530795753312,0.00375
tyler,0.2283749224903946,0.00375
tyler,0.2308845370232561,0.00375
tyler,0.23339415155611756,0.00375
tyler,0.23590376608897903,0.00375
tyler,0.23841338062184053,0.0025
tyler,0.240922995154702,0.00125
tyler,0.24343260968756347,0.00125
tyler,0.24594222422042497,0.00125
tyler,0.24845183875328644,0.00125
tyler,0.25096145328614794,0.00125
