edge_mode,threshold,fpr,mu,tpr
scm,0.0,1.0,4.0,1.0
scm,0.0,1.0,6.0,1.0
scm,0.0,1.0,8.0,1.0
scm,0.11616693492165822,0.015,4.0,1.0
scm,0.11616693492165822,0.015,6.0,1.0
scm,0.11616693492165822,0.015,8.0,1.0
scm,0.23233386984331644,0.0,4.0,1.0
scm,0.23233386984331644,0.0,6.0,1.0
scm,0.23233386984331644,0.0,8.0,1.0
scm,0.3485008047649747,0.0,4.0,1.0
scm,0.3485008047649747,0.0,6.0,1.0
scm,0.3485008047649747,0.0,8.0,1.0
scm,0.4646677396866329,0.0,4.0,1.0
scm,0.4646677396866329,0.0,6.0,1.0
scm,0.4646677396866329,0.0,8.0,1.0
scm,0.5808346746082911,0.0,4.0,1.0
scm,0.5808346746082911,0.0,6.0,1.0
scm,0.5808346746082911,0.0,8.0,1.0
scm,0.6970016095299494,0.0,4.0,1.0
scm,0.6970016095299494,0.0,6.0,1.0
scm,0.6970016095299494,0.0,8.0,1.0
scm,0.8131685444516076,0.0,4.0,1.0
scm,0.8131685444516076,0.0,6.0,1.0
scm,0.8131685444516076,0.0,8.0,1.0
scm,0.9293354793732658,0.0,4.0,1.0
scm,0.9293354793732658,0.0,6.0,1.0
scm,0.9293354793732658,0.0,8.0,1.0
scm,1.045502414294924,0.0,4.0,0.9983333333333333
scm,1.045502414294924,0.0,6.0,1.0
scm,1.045502414294924,0.0,8.0,1.0
scm,1.1616693492165822,0.0,4.0,0.9983333333333333
scm,1.1616693492165822,0.0,6.0,1.0
scm,1.1616693492165822,0.0,8.0,1.0
scm,1.2778362841382405,0.0,4.0,0.9983333333333333
scm,1.2778362841382405,0.0,6.0,1.0
scm,1.2778362841382405,0.0,8.0,1.0
scm,1.3940032190598988,0.0,4.0,0.9883333333333333
scm,1.3940032190598988,0.0,6.0,1.0
scm,1.3940032190598988,0.0,8.0,1.0
scm,1.5101701539815569,0.0,4.0,0.9816666666666667
scm,1.5101701539815569,0.0,6.0,1.0
scm,1.5101701539815569,0.0,8.0,1.0
scm,1.6263370889032152,0.0,4.0,0.9733333333333334
scm,1.6263370889032152,0.0,6.0,1.0
scm,1.6263370889032152,0.0,8.0,1.0
scm,1.7425040238248732,0.0,4.0,0.9516666666666667
scm,1.7425040238248732,0.0,6.0,1.0
scm,1.7425040238248732,0.0,8.0,1.0
scm,1.8586709587465315,0.0,4.0,0.9266666666666666
scm,1.8586709587465315,0.0,6.0,1.0
scm,1.8586709587465315,0.0,8.0,1.0
scm,1.9748378936681898,0.0,4.0,0.9033333333333333
scm,1.9748378936681898,0.0,6.0,1.0
scm,1.9748378936681898,0.0,8.0,1.0
scm,2.091004828589848,0.0,4.0,0.8733333333333333
scm,2.091004828589848,0.0,6.0,0.9983333333333333
scm,2.091004828589848,0.0,8.0,1.0
scm,2.2071717635115062,0.0,4.0,0.84
scm,2.2071717635115062,0.0,6.0,0.9983333333333333
scm,2.2071717635115062,0.0,8.0,1.0
scm,2.3233386984331643,0.0,4.0,0.7783333333333333
scm,2.3233386984331643,0.0,6.0,0.9983333333333333
scm,2.3233386984331643,0.0,8.0,1.0
scm,2.439505633354823,0.0,4.0,0.7416666666666667
scm,2.439505633354823,0.0,6.0,0.9966666666666667
scm,2.439505633354823,0.0,8.0,1.0
scm,2.555672568276481,0.0,4.0,0.6916666666666667
scm,2.555672568276481,0.0,6.0,0.9966666666666667
scm,2.555672568276481,0.0,8.0,1.0
scm,2.671839503198139,0.0,4.0,0.6316666666666667
scm,2.671839503198139,0.0,6.0,0.9916666666666667
scm,2.671839503198139,0.0,8.0,1.0
scm,2.7880064381197975,0.0,4.0,0.5616666666666666
scm,2.7880064381197975,0.0,6.0,0.985
scm,2.7880064381197975,0.0,8.0,1.0
scm,2.9041733730414556,0.0,4.0,0.49666666666666665
scm,2.9041733730414556,0.0,6.0,0.975
scm,2.9041733730414556,0.0,8.0,1.0
scm,3.0203403079631137,0.0,4.0,0.435
scm,3.0203403079631137,0.0,6.0,0.9683333333333334
scm,3.0203403079631137,0.0,8.0,1.0
scm,3.136507242884772,0.0,4.0,0.38
scm,3.136507242884772,0.0,6.0,0.9566666666666667
scm,3.136507242884772,0.0,8.0,1.0
scm,3.2526741778064303,0.0,4.0,0.31833333333333336
scm,3.2526741778064303,0.0,6.0,0.9433333333333334
scm,3.2526741778064303,0.0,8.0,1.0
scm,3.3688411127280884,0.0,4.0,0.27
scm,3.3688411127280884,0.0,6.0,0.9266666666666666
scm,3.3688411127280884,0.0,8.0,1.0
scm,3.4850080476497465,0.0,4.0,0.22666666666666666
scm,3.4850080476497465,0.0,6.0,0.9
scm,3.4850080476497465,0.0,8.0,0.9983333333333333
scm,3.601174982571405,0.0,4.0,0.19166666666666668
scm,3.601174982571405,0.0,6.0,0.8716666666666667
