regime,portfolio,estimator,skip_reason,skip_count,windows,skip_share
crisis,mv,baseline,,0,1018,0.0
crisis,mv,cc,,0,1018,0.0
crisis,mv,ewma,,0,1018,0.0
crisis,mv,lw,,0,1018,0.0
crisis,mv,oas,,0,1018,0.0
crisis,mv,overlay,,0,1018,0.0
crisis,mv,quest,,0,1018,0.0
crisis,mv,rie,,0,1018,0.0
crisis,mv,sample,,0,1018,0.0
crisis,mv,scm,,0,1018,0.0
full,ew,baseline,,0,1690,0.0
full,ew,cc,,0,1690,0.0
full,ew,ewma,,0,1690,0.0
full,ew,lw,,0,1690,0.0
full,ew,oas,,0,1690,0.0
full,ew,overlay,,0,1690,0.0
full,ew,quest,,0,1690,0.0
full,ew,rie,,0,1690,0.0
full,ew,sample,,0,1690,0.0
full,ew,scm,,0,1690,0.0
full,mv,baseline,,0,1690,0.0
full,mv,cc,,0,1690,0.0
full,mv,ewma,,0,1690,0.0
full,mv,lw,,0,1690,0.0
full,mv,oas,,0,1690,0.0
full,mv,overlay,,0,1690,0.0
full,mv,quest,,0,1690,0.0
full,mv,rie,,0,1690,0.0
full,mv,sample,,0,1690,0.0
full,mv,scm,,0,1690,0.0
calm,ew,baseline,,0,610,0.0
calm,ew,cc,,0,610,0.0
calm,ew,ewma,,0,610,0.0
calm,ew,lw,,0,610,0.0
calm,ew,oas,,0,610,0.0
calm,ew,overlay,,0,610,0.0
calm,ew,quest,,0,610,0.0
calm,ew,rie,,0,610,0.0
calm,ew,sample,,0,610,0.0
calm,ew,scm,,0,610,0.0
calm,mv,baseline,,0,610,0.0
calm,mv,cc,,0,610,0.0
calm,mv,ewma,,0,610,0.0
calm,mv,lw,,0,610,0.0
calm,mv,oas,,0,610,0.0
calm,mv,overlay,,0,610,0.0
calm,mv,quest,,0,610,0.0
calm,mv,rie,,0,610,0.0
calm,mv,sample,,0,610,0.0
calm,mv,scm,,0,610,0.0
crisis,ew,baseline,,0,1018,0.0
crisis,ew,cc,,0,1018,0.0
crisis,ew,ewma,,0,1018,0.0
crisis,ew,lw,,0,1018,0.0
crisis,ew,oas,,0,1018,0.0
crisis,ew,overlay,,0,1018,0.0
crisis,ew,quest,,0,1018,0.0
crisis,ew,rie,,0,1018,0.0
crisis,ew,sample,,0,1018,0.0
crisis,ew,scm,,0,1018,0.0
crisis,mv,baseline,,0,1018,0.0
crisis,mv,cc,,0,1018,0.0
crisis,mv,ewma,,0,1018,0.0
crisis,mv,lw,,0,1018,0.0
crisis,mv,oas,,0,1018,0.0
crisis,mv,overlay,,0,1018,0.0
crisis,mv,quest,,0,1018,0.0
crisis,mv,rie,,0,1018,0.0
crisis,mv,sample,,0,1018,0.0
crisis,mv,scm,,0,1018,0.0
calm,ew,baseline,,0,869,0.0
calm,ew,cc,,0,869,0.0
calm,ew,ewma,,0,869,0.0
calm,ew,lw,,0,869,0.0
calm,ew,oas,,0,869,0.0
calm,ew,overlay,,0,869,0.0
calm,ew,quest,,0,869,0.0
calm,ew,rie,,0,869,0.0
calm,ew,sample,,0,869,0.0
calm,ew,scm,,0,869,0.0
calm,mv,baseline,,0,869,0.0
calm,mv,cc,,0,869,0.0
calm,mv,ewma,,0,869,0.0
calm,mv,lw,,0,869,0.0
calm,mv,oas,,0,869,0.0
calm,mv,overlay,,0,869,0.0
calm,mv,quest,,0,869,0.0
calm,mv,rie,,0,869,0.0
calm,mv,sample,,0,869,0.0
calm,mv,scm,,0,869,0.0
crisis,ew,baseline,,0,840,0.0
crisis,ew,cc,,0,840,0.0
crisis,ew,ewma,,0,840,0.0
crisis,ew,lw,,0,840,0.0
crisis,ew,oas,,0,840,0.0
crisis,ew,overlay,,0,840,0.0
crisis,ew,quest,,0,840,0.0
crisis,ew,rie,,0,840,0.0
crisis,ew,sample,,0,840,0.0
crisis,ew,scm,,0,840,0.0
crisis,mv,baseline,,0,840,0.0
crisis,mv,cc,,0,840,0.0
crisis,mv,ewma,,0,840,0.0
crisis,mv,lw,,0,840,0.0
crisis,mv,oas,,0,840,0.0
crisis,mv,overlay,,0,840,0.0
crisis,mv,quest,,0,840,0.0
crisis,mv,rie,,0,840,0.0
crisis,mv,sample,,0,840,0.0
crisis,mv,scm,,0,840,0.0
full,ew,baseline,,0,1803,0.0
full,ew,cc,,0,1803,0.0
full,ew,ewma,,0,1803,0.0
full,ew,lw,,0,1803,0.0
full,ew,oas,,0,1803,0.0
full,ew,overlay,,0,1803,0.0
full,ew,quest,,0,1803,0.0
full,ew,rie,,0,1803,0.0
full,ew,sample,,0,1803,0.0
full,ew,scm,,0,1803,0.0
full,mv,baseline,,0,1803,0.0
full,mv,cc,,0,1803,0.0
full,mv,ewma,,0,1803,0.0
full,mv,lw,,0,1803,0.0
full,mv,oas,,0,1803,0.0
full,mv,overlay,,0,1803,0.0
full,mv,quest,,0,1803,0.0
full,mv,rie,,0,1803,0.0
full,mv,sample,,0,1803,0.0
full,mv,scm,,0,1803,0.0
calm,ew,baseline,,0,869,0.0
calm,ew,cc,,0,869,0.0
calm,ew,ewma,,0,869,0.0
calm,ew,lw,,0,869,0.0
calm,ew,oas,,0,869,0.0
calm,ew,overlay,,0,869,0.0
calm,ew,quest,,0,869,0.0
calm,ew,rie,,0,869,0.0
calm,ew,sample,,0,869,0.0
calm,ew,scm,,0,869,0.0
calm,mv,baseline,,0,869,0.0
calm,mv,cc,,0,869,0.0
calm,mv,ewma,,0,869,0.0
calm,mv,lw,,0,869,0.0
calm,mv,oas,,0,869,0.0
calm,mv,overlay,,0,869,0.0
calm,mv,quest,,0,869,0.0
calm,mv,rie,,0,869,0.0
calm,mv,sample,,0,869,0.0
calm,mv,scm,,0,869,0.0
crisis,ew,baseline,,0,840,0.0
crisis,ew,cc,,0,840,0.0
crisis,ew,ewma,,0,840,0.0
crisis,ew,lw,,0,840,0.0
crisis,ew,oas,,0,840,0.0
crisis,ew,overlay,,0,840,0.0
crisis,ew,quest,,0,840,0.0
crisis,ew,rie,,0,840,0.0
crisis,ew,sample,,0,840,0.0
crisis,ew,scm,,0,840,0.0
crisis,mv,baseline,,0,840,0.0
crisis,mv,cc,,0,840,0.0
crisis,mv,ewma,,0,840,0.0
crisis,mv,lw,,0,840,0.0
crisis,mv,oas,,0,840,0.0
crisis,mv,overlay,,0,840,0.0
crisis,mv,quest,,0,840,0.0
crisis,mv,rie,,0,840,0.0
crisis,mv,sample,,0,840,0.0
crisis,mv,scm,,0,840,0.0
calm,ew,baseline,,0,829,0.0
calm,ew,cc,,0,829,0.0
calm,ew,ewma,,0,829,0.0
calm,ew,lw,,0,829,0.0
calm,ew,oas,,0,829,0.0
calm,ew,overlay,,0,829,0.0
calm,ew,quest,,0,829,0.0
calm,ew,rie,,0,829,0.0
calm,ew,sample,,0,829,0.0
calm,ew,scm,,0,829,0.0
calm,mv,baseline,,0,829,0.0
calm,mv,cc,,0,829,0.0
calm,mv,ewma,,0,829,0.0
calm,mv,lw,,0,829,0.0
calm,mv,oas,,0,829,0.0
calm,mv,overlay,,0,829,0.0
calm,mv,quest,,0,829,0.0
calm,mv,rie,,0,829,0.0
calm,mv,sample,,0,829,0.0
calm,mv,scm,,0,829,0.0
crisis,ew,baseline,,0,816,0.0
crisis,ew,cc,,0,816,0.0
crisis,ew,ewma,,0,816,0.0
crisis,ew,lw,,0,816,0.0
crisis,ew,oas,,0,816,0.0
crisis,ew,overlay,,0,816,0.0
crisis,ew,quest,,0,816,0.0
crisis,ew,rie,,0,816,0.0
crisis,ew,sample,,0,816,0.0
crisis,ew,scm,,0,816,0.0
crisis,mv,baseline,,0,816,0.0
crisis,mv,cc,,0,816,0.0
crisis,mv,ewma,,0,816,0.0
crisis,mv,lw,,0,816,0.0
crisis,mv,oas,,0,816,0.0
crisis,mv,overlay,,0,816,0.0
crisis,mv,quest,,0,816,0.0
crisis,mv,rie,,0,816,0.0
crisis,mv,sample,,0,816,0.0
crisis,mv,scm,,0,816,0.0
full,ew,baseline,,0,1673,0.0
full,ew,cc,,0,1673,0.0
full,ew,ewma,,0,1673,0.0
full,ew,lw,,0,1673,0.0
full,ew,oas,,0,1673,0.0
full,ew,overlay,,0,1673,0.0
full,ew,quest,,0,1673,0.0
full,ew,rie,,0,1673,0.0
full,ew,sample,,0,1673,0.0
full,ew,scm,,0,1673,0.0
full,mv,baseline,,0,1673,0.0
full,mv,cc,,0,1673,0.0
full,mv,ewma,,0,1673,0.0
full,mv,lw,,0,1673,0.0
full,mv,oas,,0,1673,0.0
full,mv,overlay,,0,1673,0.0
full,mv,quest,,0,1673,0.0
full,mv,rie,,0,1673,0.0
full,mv,sample,,0,1673,0.0
full,mv,scm,,0,1673,0.0
calm,ew,baseline,,0,829,0.0
calm,ew,cc,,0,829,0.0
calm,ew,ewma,,0,829,0.0
calm,ew,lw,,0,829,0.0
calm,ew,oas,,0,829,0.0
calm,ew,overlay,,0,829,0.0
calm,ew,quest,,0,829,0.0
calm,ew,rie,,0,829,0.0
calm,ew,sample,,0,829,0.0
calm,ew,scm,,0,829,0.0
calm,mv,baseline,,0,829,0.0
calm,mv,cc,,0,829,0.0
calm,mv,ewma,,0,829,0.0
calm,mv,lw,,0,829,0.0
calm,mv,oas,,0,829,0.0
calm,mv,overlay,,0,829,0.0
calm,mv,quest,,0,829,0.0
calm,mv,rie,,0,829,0.0
calm,mv,sample,,0,829,0.0
calm,mv,scm,,0,829,0.0
crisis,ew,baseline,,0,816,0.0
crisis,ew,cc,,0,816,0.0
crisis,ew,ewma,,0,816,0.0
crisis,ew,lw,,0,816,0.0
crisis,ew,oas,,0,816,0.0
crisis,ew,overlay,,0,816,0.0
crisis,ew,quest,,0,816,0.0
crisis,ew,rie,,0,816,0.0
crisis,ew,sample,,0,816,0.0
crisis,ew,scm,,0,816,0.0
crisis,mv,baseline,,0,816,0.0
crisis,mv,cc,,0,816,0.0
crisis,mv,ewma,,0,816,0.0
crisis,mv,lw,,0,816,0.0
crisis,mv,oas,,0,816,0.0
crisis,mv,overlay,,0,816,0.0
crisis,mv,quest,,0,816,0.0
crisis,mv,rie,,0,816,0.0
crisis,mv,sample,,0,816,0.0
crisis,mv,scm,,0,816,0.0
